,0,1,2,3,4
0,1,-1,1,1,-1
1,4,-1,1,1,1
2,5,-1,1,-1,-1
3,2,-1,1,1,-1
4,3,-1,1,1,-1
5,1,1,1,1,-1
6,5,-1,1,-1,-1
7,1,-1,1,1,-1
8,3,-1,-1,1,1
9,4,-1,-1,1,1
10,5,1,1,-1,-1
11,4,-1,1,1,-1
12,4,1,1,1,-1
13,4,-1,-1,1,1
14,1,-1,-1,1,1
15,-1,-1,-1,1,1
16,-1,-1,1,1,1
17,5,1,1,-1,-1
18,1,-1,1,1,-1
19,2,-1,1,1,-1
20,3,1,1,1,-1
21,5,1,1,-1,-1
22,1,-1,1,-1,1
23,3,-1,-1,1,1
24,5,1,1,-1,-1
25,-1,-1,-1,1,1
26,1,1,1,1,-1
27,1,1,1,1,-1
28,2,1,1,1,-1
29,1,-1,1,1,-1
30,-1,-1,1,1,1
31,1,-1,1,1,1
32,1,-1,1,1,-1
33,3,-1,-1,1,1
34,-1,-1,1,1,1
35,4,-1,-1,1,1
36,1,1,1,1,-1
37,5,-1,1,-1,-1
38,4,1,1,1,-1
39,4,-1,1,1,1
40,4,-1,1,-1,1
41,4,-1,-1,1,1
42,4,-1,1,-1,1
43,3,-1,-1,1,1
44,4,1,1,-1,1
45,0,-1,1,1,1
46,4,-1,-1,1,1
47,1,1,1,1,-1
48,4,-1,1,1,1
49,3,-1,1,1,-1
50,1,1,1,1,-1
51,-1,-1,-1,-1,1
52,1,1,1,1,-1
53,5,-1,1,-1,-1
54,-1,-1,1,1,1
55,2,1,1,1,-1
56,-1,-1,1,-1,1
57,1,1,1,1,-1
58,1,-1,1,1,-1
59,4,-1,-1,1,1
60,4,-1,1,1,-1
61,-1,-1,-1,-1,1
62,4,-1,1,1,-1
63,1,1,1,1,-1
64,1,1,1,1,-1
65,5,-1,1,-1,1
66,3,-1,1,1,-1
67,2,-1,1,1,-1
68,1,-1,1,1,-1
69,0,1,1,-1,1
70,-1,-1,-1,-1,1
71,2,-1,1,1,-1
72,2,-1,1,1,-1
73,1,1,1,1,-1
74,5,-1,1,-1,-1
75,3,-1,1,1,1
76,3,-1,1,1,1
77,4,-1,1,1,1
78,-1,-1,1,1,1
79,-1,-1,1,1,1
80,4,-1,-1,1,1
81,1,1,1,1,-1
82,4,-1,-1,1,1
83,3,-1,1,1,-1
84,5,-1,1,-1,-1
85,1,-1,1,1,-1
86,2,1,1,1,-1
87,4,-1,1,1,1
88,-1,-1,-1,1,1
89,4,-1,1,1,1
90,-1,-1,1,1,1
91,-1,-1,-1,1,1
92,2,-1,1,1,-1
93,4,-1,1,1,1
94,2,1,1,1,-1
95,1,-1,1,1,1
96,2,1,1,1,-1
97,5,1,1,-1,-1
98,2,-1,1,1,-1
99,4,-1,1,1,1
100,4,-1,1,1,-1
101,5,-1,1,-1,-1
102,5,1,1,-1,-1
103,1,-1,1,1,-1
104,4,-1,-1,1,1
105,3,-1,1,1,1
106,3,1,1,1,-1
107,1,1,1,1,-1
108,-1,-1,1,1,1
109,3,1,1,1,-1
110,1,1,1,1,-1
111,2,-1,1,1,-1
112,3,1,1,1,-1
113,5,1,1,-1,-1
114,2,1,1,1,-1
115,1,-1,-1,1,1
116,4,-1,1,1,-1
117,1,-1,1,1,-1
118,-1,-1,1,1,1
119,3,-1,1,1,-1
120,1,-1,1,1,1
121,1,1,1,1,-1
122,0,-1,1,1,1
123,1,-1,1,1,-1
124,-1,-1,-1,1,1
125,-1,1,-1,1,1
126,4,-1,1,1,-1
127,5,1,1,-1,-1
128,3,1,1,1,-1
129,5,-1,1,-1,-1
130,3,-1,1,1,1
131,2,1,1,1,-1
132,3,-1,1,1,-1
133,5,-1,-1,-1,1
134,2,1,1,1,-1
135,4,-1,1,1,-1
136,4,1,1,1,-1
137,4,1,1,1,-1
138,4,-1,1,1,1
139,3,-1,1,1,-1
140,5,-1,1,-1,-1
141,1,-1,1,1,-1
142,-1,-1,-1,-1,1
143,1,-1,1,1,-1
144,4,-1,1,1,1
145,3,1,1,1,-1
146,3,1,1,1,-1
147,3,-1,1,1,-1
148,4,1,1,1,-1
149,5,1,1,-1,-1
150,1,1,1,1,-1
151,4,-1,1,1,-1
152,3,-1,1,1,-1
153,3,-1,-1,1,1
154,-1,-1,-1,1,1
155,2,-1,1,1,-1
156,3,1,-1,-1,1
157,4,-1,-1,1,1
158,1,-1,1,1,-1
159,1,-1,1,-1,1
160,4,-1,-1,1,1
161,-1,-1,-1,1,1
162,5,1,1,-1,-1
163,4,-1,-1,1,1
